Time,Filename,Category,Status
2026-05-03 11:45:08,Animal_images.jpg,Users/khetsophon/AI_Sorted/Animal,Success
2026-05-03 11:47:37,Animal_pngtree-black-cat-png-image_14112413.png,Users/khetsophon/AI_Sorted/Animal,Success
2026-05-07 12:25:55,Animal_pngtree-smile-dog-on-white-background-png-image_9160783.png,Animal,Deleted
